"title","site","country","year_release","box_office","director","number_of_subjects","subject","type_of_subject","race_known","subject_race","person_of_color","subject_sex","lead_actor_actress"
"Ed Wood","tt0109707","US",1994,5890000,"Tim Burton",1,"Edward D. Wood","Other","Unknown",NA,FALSE,"Male","Johnny Depp"
"Edison, the Man","tt0032432","US",1940,NA,"Clarence Brown",1,"Thomas Edison","Academic","Known","White",FALSE,"Male","Spencer Tracy"
"Eichmann","tt0901481","UK",2007,NA,"Robert Young",1,"Adolf Eichmann","Military","Known","White",FALSE,"Male","Thomas Kretschmann"
"El cantante","tt0458522","US",2006,7560000,"Leon Ichaso",1,"HÃ©ctor Lavoe","Musician","Known","Hispanic (Latin American)",TRUE,"Male","Marc Anthony"
"El Cid","tt0054847","US",1961,26600000,"Anthony Mann",1,"Rodrigo Diaz","Historical","Known","Hispanic (White)",FALSE,"Male","Charlton Heston"
"Elizabeth","tt0127536","US/UK",1998,3e+07,"Shekhar Kapur",1,"Elizabeth I of England","Historical","Known","White",FALSE,"Female","Cate Blanchett"
"Elizabeth: The Golden Age","tt0414055","US/UK",2007,16300000,"Shekhar Kapur",1,"Elizabeth I of England","Historical","Known","White",FALSE,"Female","Cate Blanchett"
"Erin Brockovich","tt0195685","US",2000,1.26e+08,"Steven Soderbergh",1,"Erin Brockovich","Activist","Unknown",NA,FALSE,"Female","Julia Roberts"
"Escape from Alcatraz","tt0079116","US",1979,36500000,"Don Siegel",3,"Clarence Anglin","Criminal","Unknown",NA,FALSE,"Male","Jack Thibeau"
"Escape from Alcatraz","tt0079116","US",1979,36500000,"Don Siegel",3,"Frank Morris","Criminal","Unknown",NA,FALSE,"Male","Clint Eastwood"
"Escape from Alcatraz","tt0079116","US",1979,36500000,"Don Siegel",3,"John Anglin","Criminal","Unknown",NA,FALSE,"Male","Fred Ward"
"Evel Knievel","tt0067069","US",1971,NA,"Marvin J. Chomsky",1,"Evel Knievel","Athlete","Known","White",FALSE,"Male","George Hamilton"
"Everyman's War","tt1209319","US",2009,NA,"Thad T. Smith",1,"Don Smith","Military","Unknown",NA,FALSE,"Male","Cole Carson"
"Evita","tt0116250","US",1996,5e+07,"Alan Parker",1,"Eva ""Evita"" Duarte de Peron","Actress / activist","Known","Hispanic (Latin American)",FALSE,"Female","Madonna"
"Exodus: Gods and Kings","tt1528100","UK",2014,6.5e+07,"Ridley Scott",1,"Moses","Historical","Known","Middle Eastern (White)",FALSE,"Male","Christian Bale"
"Factory Girl","tt0432402","US",2006,1650000,"George Hickenlooper",1,"Edie Sedgwick","Actress","Known","White",FALSE,"Female","Sienna Miller"
"Fair Game","tt0977855","US",2010,9530000,"Doug Liman",1,"Valerie Plame","Government","Known","White",FALSE,"Female","Naomi Watts"
"Fat Man and Little Boy","tt0097336","US",1989,3560000,"Roland JoffÃƒÂ©",2,"Leslie Groves","Military","Known","White",FALSE,"Male","Paul Newman"
"Fat Man and Little Boy","tt0097336","US",1989,3560000,"Roland JoffÃƒÂ©",2,"Robert Oppenheimer","Academic","Known","White",FALSE,"Male","Dwight Schultz"
"Fear Strikes Out","tt0050383","US",1957,NA,"Robert Mulligan",1,"Jimmy Piersall","Athlete","Unknown",NA,FALSE,"Male","Anthony Perkins"
"Fellini's Casanova","tt0074291","US",1976,NA,"Federico Fellini",1,"Giacomo Casanova","Historical","Known","White",FALSE,"Male","Donald Sutherland"
"Find Me Guilty","tt0419749","US",2006,1170000,"Sidney Lumet",1,"Jackie DiNorscio","Criminal","Known","White",FALSE,"Male","Vin Diesel"
"Finding Graceland","tt0120026","US",1998,NA,"David Winkler",1,"Elvis Presley","Musician","Known","White",FALSE,"Male","Harvey Keitel"
"Finding Neverland","tt0308644","US/UK",2004,51700000,"Marc Forster",1,"J.M. Barrie","Author","Known","White",FALSE,"Male","Johnny Depp"
"Fire in the Sky","tt0106912","US",1993,20100000,"Robert Lieberman",1,"Travis Walton","Other","Unknown",NA,FALSE,"Male","D.B. Sweeney"
"Flash of Genius","tt1054588","US/Canada",2008,4230000,"Marc Abraham",1,"Robert Kearns","Other","Unknown",NA,FALSE,"Male","Greg Kinnear"
"Foxcatcher","tt1100089","US",2014,12100000,"Bennett Miller",1,"Mark Schultz","Athlete","Known","White",FALSE,"Male","Channing Tatum"
"Frances","tt0083967","US",1982,5e+06,"Graeme Clifford",1,"Frances Farmer","Actress","Known","White",FALSE,"Female","Jessica Lange"
"Francis of Assisi","tt0054892","US",1961,NA,"Michael Curtiz",1,"Francis Bernardone","Historical","Known","White",FALSE,"Male","Bradford Dillman"
"Frank & Jesse","tt0109835","US",1995,NA,"Robert Boris",2,"Frank James","Criminal","Known","White",FALSE,"Male","Bill Paxton"
"Frank & Jesse","tt0109835","US",1995,NA,"Robert Boris",2,"Jesse James","Criminal","Known","White",FALSE,"Male","Rob Lowe"
"Frankie & Alice","tt1221208","Canada",2010,693000,"Geoffrey Sax",1,"Frankie Murdoch","Other","Known","African American",TRUE,"Female","Halle Berry"
"Freedom Writers","tt0463998","US",2007,36600000,"Richard LaGravenese",1,"Erin Gruwell","Other","Known","White",FALSE,"Female","Hilary Swank"
"Freud","tt0055998","US",1962,NA,"John Huston",1,"Sigmund Freud","Academic","Known","White",FALSE,"Male","Montgomery Clift"
"Frida","tt0120679","US/Canada",2002,25800000,"Julie Taymor",1,"Frida Kahlo","Artist","Known","Hispanic (Latin American)",TRUE,"Female","Salma Hayek"
"Fruitvale Station","tt2334649","US",2013,16100000,"Ryan Coogler",1,"Oscar Grant III","Other","Known","African American",TRUE,"Male","Michael B. Jordan"
"Funny Girl","tt0062994","US",1968,223000,"William Wyler",1,"Fanny Brice","Actress","Known","White",FALSE,"Female","Barbra Streisand"
"Fur: An Imaginary Portrait of Diane Arbus","tt0422295","US",2006,221000,"Steven Shainberg",1,"Diane Arbus","Other","Known","White",FALSE,"Female","Nicole Kidman"
"Gandhi","tt0083987","UK",1982,NA,"Richard Attenborough",1,"Mahatma Gandhi","Activist","Known","Indian",TRUE,"Male","Ben Kingsley"
"Gentleman Jim","tt0034778","US",1942,NA,"Raoul Walsh",1,"James J Corbett","Athlete","Known","White",FALSE,"Male","Errol Flynn"
"Geronimo","tt0056016","US",1962,NA,"Arnold Laven",1,"Geronimo","Military","Known","Native American",TRUE,"Male","Chuck Connors"
"Get on Up","tt2473602","US/UK",2014,30500000,"Tate Taylor",1,"James Brown","Singer","Known","African American",TRUE,"Male","Chadwick Boseman"
"Get Rich or Die Tryin'","tt0430308","US/Canada",2005,3.1e+07,"Jim Sheridan",1,"Curtis '50 Cent' Jackson","Singer","Known","African American",TRUE,"Male","50 Cent"
"Girl with a Pearl Earring","tt0335119","UK",2003,11600000,"Peter Webber",1,"Johannes Vermeer","Artist","Known","White",FALSE,"Male","Colin Firth"
"Girl, Interrupted","tt0172493","US",1999,28900000,"James Mangold",1,"Susanna Kaysen","Author","Unknown",NA,FALSE,"Female","Winona Ryder"
"Glory Road","tt0385726","US",2006,42600000,"James Gartner",1,"Don Haskins","Athlete","Unknown",NA,FALSE,"Male","With: Josh Lucas, Derek Luke, Austin Nichols"
"Gods and Monsters","tt0120684","US/UK",1998,6390000,"Bill Condon",1,"James Whale","Other","Known","White",FALSE,"Male","Ian McKellen"
"Goltzius and the Pelican Company","tt1851006","UK",2012,NA,"Peter Greenaway",1,"Hendrik Goltzius","Artist","Known","White",FALSE,"Male","Ramsey Nasr"
"Good Morning, Vietnam","tt0093105","US",1987,1.24e+08,"Barry Levinson",1,"Adrian Cronauer","Media","Unknown",NA,FALSE,"Male","Robin Williams"
"Good Vibrations","tt1920945","UK",2012,NA,"Lisa Barros D'Sa, Glenn Leyburn",1,"Terri Hooley","Musician","Unknown",NA,FALSE,"Male","Richard Dormer"
"Goodfellas","tt0099685","US",1990,46800000,"Martin Scorsese",1,"Henry Hill","Criminal","Known","White",FALSE,"Male","Ray Liotta"
"Gorillas in the Mist","tt0095243","US",1988,24700000,"Michael Apted",1,"Dian Fossey","Academic","Unknown",NA,FALSE,"Female","Sigourney Weaver"
"Goya's Ghosts","tt0455957","US",2006,1e+06,"Milos Forman",1,"Francisco Goya","Artist","Known","Hispanic (White)",FALSE,"Male","Stellan SkarsgÃ¥rd"
"Grace of Monaco","tt2095649","US",2014,NA,"Olivier Dahan",1,"Grace Kelly","Actress","Known","White",FALSE,"Male","Nicole Kidman"
"Gracie","tt0441007","US",2007,2960000,"Davis Guggenheim",1,"Elisabeth Shue","Athlete","Known","White",FALSE,"Female","Carly Schroeder"
"Greased Lightning","tt0076106","US",1977,NA,"Michael Schultz",1,"Wendell Scott","Athlete","Known","African American",TRUE,"Male","Richard Pryor"
"Great Balls of Fire!","tt0097457","US",1989,13700000,"Jim McBride",1,"Jerry Lee Lewis","Musician","Unknown",NA,FALSE,"Male","Dennis Quaid"
"Grey Owl","tt0128239","Canada/UK",1999,315000,"Richard Attenborough",1,"Grey Owl (Archibald Belaney)","Other","Known","Multi racial",TRUE,"Male","Pierce Brosnan"
"Gypsy","tt0056048","US",1962,NA,"Mervyn LeRoy",2,"Gypsy Rose Lee","Artist","Known","White",FALSE,"Female","Natalie Wood"
"Gypsy","tt0056048","US",1962,NA,"Mervyn LeRoy",2,"Rose Thompson Hovick","Other","Known","White",FALSE,"Female","Rosalind Russell"
"Hans Christian Andersen","tt0044685","US",1952,NA,"Charles Vidor",1,"Hans Christian Andersen","Author","Known","White",FALSE,"Male","Danny Kaye"
"Harlow","tt0059252","US",1965,NA,"Gordon Douglas",1,"Jean Harlow","Actress","Known","White",FALSE,"Female","Carroll Baker"
"Heart Like a Wheel","tt0085656","US",1983,NA,"Jonathan Kaplan",1,"Shirley Muldowney","Athlete","Known","White",FALSE,"Female","Bonnie Bedelia"
"Heaven & Earth","tt0107096","US",1993,5860000,"Oliver Stone",1,"Le Ly Hayslip","Other","Known","Asian American",TRUE,"Female","Hiep Thi Le"
"Hell to Eternity","tt0053901","US",1960,NA,"Phil Karlson",1,"Guy Gabaldon","Military","Known","Hispanic (Latino)",TRUE,"Male","Jeffrey Hunter"
"Henry & June","tt0099762","US",1990,11600000,"Philip Kaufman",3,"Henry Miller","Author","Known","White",FALSE,"Male","Fred Ward"
"Henry & June","tt0099762","US",1990,11600000,"Philip Kaufman",3,"AnaÃ¯s Nin","Author","Known","White",FALSE,"Female","Maria de Medeiros"
"Henry & June","tt0099762","US",1990,11600000,"Philip Kaufman",3,"June Miller","Other","Known","White",FALSE,"Female","Uma Thurman"
"Henry V","tt0036910","UK",1944,NA,"Laurence Olivier",1,"Henry V of England","Historical","Known","White",FALSE,"Male","Laurence Olivier"
"Henry V","tt0097499","UK",1989,10200000,"Kenneth Branagh",1,"Henry V of England","Historical","Known","White",FALSE,"Male","Kenneth Branagh"
"High Roller: The Stu Ungar Story","tt0338467","US",2003,NA,"A.W. Vidmer",1,"Stu Ungar","Other","Known","White",FALSE,"Male","Michael Imperioli"
"Hilary and Jackie","tt0150915","UK",1998,4870000,"Anand Tucker",2,"Jacqueline du PrÃ©","Musician","Known","White",FALSE,"Female","Emily Watson"
"Hilary and Jackie","tt0150915","UK",1998,4870000,"Anand Tucker",2,"Hilary du PrÃ©-Finzi","Musician","Known","White",FALSE,"Female","Rachel Griffiths"
"His Majesty O'Keefe","tt0045876","US",1954,NA,"Byron Haskin",1,"David Dion O'Keefe","Other","Known","White",FALSE,"Male","Burt Lancaster"
"Hitchcock","tt0975645","US/UK",2012,6e+06,"Sacha Gervasi",2,"Alfred Hitchcock","Other","Known","White",FALSE,"Male","Anthony Hopkins"
"Hitchcock","tt0975645","US/UK",2012,6e+06,"Sacha Gervasi",2,"Alma Reville","Other","Known","White",FALSE,"Female","Helen Mirren"
"Hitler: A Film from Germany","tt0076147","UK",1977,NA,"Hans-JÃ_rgen Syberberg",1,"Adolf Hitler","Military","Known","White",FALSE,"Male","Heinz Schubert"
"Hitler: The Last Ten Days","tt0070184","UK",1973,NA,"Ennio De Concini",1,"Adolf Hitler","Military","Known","White",FALSE,"Male","Alec Guinness"
"Hoffa","tt0104427","US",1992,24300000,"Danny DeVito",1,"Jimmy Hoffa","Activist","Known","White",FALSE,"Male","Jack Nicholson"
"Hollywoodland","tt0427969","US",2006,14400000,"Allen Coulter",1,"George Reeves","Actor","Unknown",NA,FALSE,"Male","Ben Affleck"
"Houdini","tt0045886","US",1953,NA,"George Marshall",1,"Harry Houdini","Other","Known","White",FALSE,"Male","Tony Curtis"
"Howl","tt1049402","US",2010,617000,"Rob Epstein, Jeffrey Friedman",1,"Allen Ginsberg","Author","Known","White",FALSE,"Male","James Franco"
"Hunger","tt0986233","UK",2008,154000,"Steve McQueen",1,"Bobby Sands","Activist","Known","White",FALSE,"Male","Michael Fassbender"
"Hyde Park on Hudson","tt1477855","UK",2012,6370000,"Roger Michell",2,"Franklin Delano Roosevelt","World leader","Known","White",FALSE,"Male","Bill Murray"
"Hyde Park on Hudson","tt1477855","UK",2012,6370000,"Roger Michell",2,"Margaret Suckley","Other","Unknown",NA,FALSE,"Female","Laura Linney"
"I Am a Sex Addict","tt0428649","US",2005,113000,"Caveh Zahedi",1,"Caveh Zahedi","Actor","Known","Middle Eastern",TRUE,"Male","Caveh Zahedi"
"I Love You Phillip Morris","tt1045772","US",2009,2040000,"Glenn Ficarra, John Requa",1,"Steven Russell","Criminal","Unknown",NA,FALSE,"Male","Jim Carrey"
"I Shot Andy Warhol","tt0116594","US/UK",1996,1810000,"Mary Harron",1,"Valerie Solanas","Activist","Known","Hispanic (White)",FALSE,"Female","Lil Taylor"
"I Want to Live!","tt0051758","US",1958,NA,"Robert Wise",1,"Barbara Graham","Criminal","Unknown",NA,FALSE,"Female","Susan Hayward"
"I'll Cry Tomorrow","tt0048191","US",1955,NA,"Daniel Mann",1,"Lillian Roth","Actress","Known","White",FALSE,"Female","Susan Hayward"
"I'll See You in My Dreams","tt0043669","US",1951,NA,"Michael Curtiz",1,"Gus Kahn","Musician","Known","White",FALSE,"Male","Danny Thomas"
"I'm Not There.","tt0368794","US/Canada",2007,4e+06,"Todd Haynes",1,"Bob Dylan","Musician","Known","White",FALSE,"Male","-"
"If You Could See What I Hear","tt0084117","Canada",1982,NA,"Eric Till",1,"Tom Sullivan","Singer","Known","White",FALSE,"Male","Marc Singer"
"Immortal Beloved","tt0110116","US/UK",1994,14400000,"Bernard Rose",1,"Ludwig van Beethoven","Musician","Known","White",FALSE,"Male","Gary Oldman"
"Impromptu","tt0102103","UK",1991,4080000,"James Lapine",2,"FrÃ©dÃ©ric FranÃ§ois Chopin","Musician","Known","White",FALSE,"Male","Hugh Grant"
"Impromptu","tt0102103","UK",1991,4080000,"James Lapine",2,"George Sand / Aurore","Other","Known","White",FALSE,"Female","Judy Davis"
"In Love and War","tt0116621","US",1996,14500000,"Richard Attenborough",2,"Ernest Hemingway","Media","Known","White",FALSE,"Male","Chris O'Donnell"
"In Love and War","tt0116621","US",1996,14500000,"Richard Attenborough",2,"Agnes von Kurowsky","Other","Known","White",FALSE,"Female","Sandra Bullock"
"In the Name of the Father","tt0107207","US/UK",1993,2.5e+07,"Jim Sheridan",1,"Gerry Conlon","Other","Known","White",FALSE,"Male","Daniel Day-Lewis"
"Infamous","tt0420609","US",2006,1150000,"Douglas McGrath",1,"Truman Capote","Other","Unknown",NA,FALSE,"Male","Toby Jones"
"Infinity","tt0116635","US",1996,146000,"Matthew Broderick",1,"Richard Feynman","Academic","Unknown",NA,FALSE,"Male","Matthew Broderick"
"Interrupted Melody","tt0048210","US",1955,NA,"Curtis Bernhardt",1,"Marjorie Lawrence","Singer","Known","White",FALSE,"Female","Eleanor Parker"
"Into the Wild","tt0758758","US",2007,18400000,"Sean Penn",1,"Christopher McCandless","Athlete","Unknown",NA,FALSE,"Male","Emile Hirsch"
"Invictus","tt1057500","US",2009,37500000,"Clint Eastwood",2,"Nelson Mandela","World leader","Known","African",TRUE,"Male","Morgan Freeman"
"Invictus","tt1057500","US",2009,37500000,"Clint Eastwood",2,"FranÃ§ois Pienaar","Athlete","Known","White",FALSE,"Male","Matt Damon"
"Invincible","tt0445990","US",2006,57800000,"Ericson Core",1,"Vince Papale","Athlete","Unknown",NA,FALSE,"Male","Mark Wahlberg"
"Iris","tt0280778","US/UK",2001,1200000,"Richard Eyre",1,"Iris Murdoch","Author","Known","White",FALSE,"Female","Judi Dench and Kate Winslet"
"Isadora","tt0063141","UK",1968,NA,"Karel Reisz",1,"Isadora Duncan","Artist","Unknown",NA,FALSE,"Female","Vanessa Redgrave"
"Isn't She Great","tt0141399","US/UK",2000,2950000,"Andrew Bergman",1,"Jacqueline Susann","Author","Known","White",FALSE,"Female","Bette Midler"
"iSteve","tt2782834","US",2013,NA,"Ryan Perez",1,"Steve Jobs","Other","Known","Multi racial",TRUE,"Male","Justin Long"
"J. Edgar","tt1616195","US",2011,37300000,"Clint Eastwood",1,"J. Edgar Hoover","Government","Known","White",FALSE,"Male","Leonardo DiCaprio"
"Jamesy Boy","tt1673734","US",2014,NA,"Trevor White",1,"James Burns","Criminal","Unknown",NA,FALSE,"Male","Spencer Lofranco"
"Jappeloup","tt2018079","Canada",2013,NA,"Christian Duguay",1,"Pierre Durand, Jr.","Athlete","Known","White",FALSE,"Male","Guillaume Canet"
"Jean Charles","tt0989007","UK",2009,NA,"Henrique Goldman",1,"Jean Charles de Menezes","Other","Known","White",FALSE,"Male","Selton Mello"
"Jefferson in Paris","tt0113463","US",1995,2470000,"James Ivory",1,"Thomas Jefferson","Historical","Known","White",FALSE,"Male","Nick Nolte"
"Jersey Boys","tt1742044","US",2014,4.7e+07,"Clint Eastwood",4,"Bob Gaudio","Musician","Known","White",FALSE,"Male","Erich Bergen"
"Jersey Boys","tt1742044","US",2014,4.7e+07,"Clint Eastwood",4,"Frankie Valli","Musician","Known","White",FALSE,"Male","John Lloyd Young"
"Jersey Boys","tt1742044","US",2014,4.7e+07,"Clint Eastwood",4,"Nick Massi","Musician","Known","White",FALSE,"Male","Michael Lomenda"
"Jersey Boys","tt1742044","US",2014,4.7e+07,"Clint Eastwood",4,"Tommy DeVito","Musician","Known","White",FALSE,"Male","Vincent Piazza"
"Jesse James","tt0031507","US",1939,NA,"Henry King",1,"Jesse James","Criminal","Known","White",FALSE,"Male","Tyrone Power"
"Jim Thorpe -- All-American","tt0043687","US",1951,NA,"Michael Curtiz",1,"Jim Thorpe","Athlete","Known","Native American",TRUE,"Male","Burt Lancaster"
"Jimi: All Is by My Side","tt2402085","US/UK",2013,323000,"John Ridley",1,"Jimi Hendrix","Musician","Known","Multi racial",TRUE,"Male","AndrÃ© Benjamin"
"Jinnah","tt0183306","UK",1998,NA,"Jamil Dehlavi",1,"Mohammad Ali Jinnah","Other","Known","Middle Eastern",TRUE,"Male","Christopher Lee"
"Jo Jo Dancer, Your Life Is Calling","tt0091295","US",1986,1.8e+07,"Richard Pryor",1,"Richard Pryor","Comedian","Known","African American",TRUE,"Male","Richard Pryor"
"Joan of Arc","tt0040491","US",1948,NA,"Victor Fleming",1,"Joan of Arc","Historical","Known","White",FALSE,"Female","Ingrid Bergman"
"Jobs","tt2357129","US",2013,16100000,"Joshua Michael Stern",1,"Steve Jobs","Other","Known","Multi racial",TRUE,"Male","Ashton Kutcher"
"John Paul Jones","tt0052946","US",1959,NA,"John Farrow",1,"John Paul Jones","Military","Known","White",FALSE,"Male","Robert Stack"
"Juarez","tt0031516","US",1939,NA,"William Dieterle",1,"Benito Juarez","World leader","Known","Hispanic (Latin American)",TRUE,"Male","Paul Muni"
"Julie & Julia","tt1135503","US",2009,94100000,"Nora Ephron",2,"Julia Child","Other","Unknown",NA,FALSE,"Female","Meryl Streep"
"Julie & Julia","tt1135503","US",2009,94100000,"Nora Ephron",2,"Julia Powell","Other","Unknown",NA,FALSE,"Female","Amy Adams"
"Kid Cannabis","tt0780548","US",2014,5570,"John Stockwell",1,"Nate Norman","Criminal","Unknown",NA,FALSE,"Male","Jonathan Daniel Brown"
"Kill the Irishman","tt1416801","US",2011,1190000,"Jonathan Hensleigh",1,"Danny Greene","Criminal","Known","White",FALSE,"Male","Ray Stevenson"
"Kill the Messenger","tt1216491","US",2014,2450000,"Michael Cuesta",1,"Gary Webb","Media","Unknown",NA,FALSE,"Male","Jeremy Renner"
"Kill Your Darlings","tt1311071","US",2013,1030000,"John Krokidas",1,"Allen Ginsberg","Author","Known","White",FALSE,"Male","Daniel Radcliffe"
"Killer: A Journal of Murder","tt0113542","US",1995,65700,"Tim Metcalfe",1,"Carl Panzram","Criminal","Known","White",FALSE,"Male","James Woods"
"King David","tt0089420","US",1985,NA,"Bruce Beresford",1,"David","Historical","Known","Middle Eastern (White)",FALSE,"Male","Richard Gere"
"King of Kings","tt0055047","US",1961,NA,"Nicholas Ray",1,"Jesus","Historical","Known","Middle Eastern (White)",FALSE,"Male","Jeffrey Hunter"
"Kinsey","tt0362269","US",2004,10200000,"Bill Condon",1,"Alfred Kinsey","Academic","Known","White",FALSE,"Male","Liam Neeson"
"Klimt","tt0417871","UK",2006,NA,"Raoul Ruiz",1,"Gustav Klimt","Artist","Known","White",FALSE,"Male","John Malkovich"
"Knute Rockne All American","tt0032676","US",1940,NA,"Lloyd Bacon",1,"Knute Rockne","Athlete","Known","White",FALSE,"Male","Pat O'Brien"
"Korczak","tt0099949","UK",1990,NA,"Andrzej Wajda",1,"Janusz Korczak","Other","Known","White",FALSE,"Male","Wojciech Pszoniak"
"Kundun","tt0119485","US",1997,5530000,"Martin Scorsese",1,"Dalai Lama","Activist","Known","Asian",TRUE,"Male","Tenzin Thuthob Tsarong"
"La Bamba","tt0093378","US",1987,54200000,"Luis Valdez",1,"Ritchie Valens","Musician","Known","Hispanic (Latino)",TRUE,"Male","Lou Diamond Phillips"
"La Vie en Rose","tt0450188","Canada/UK",2007,10300000,"Olivier Dahan",1,"Ã‰dith Piaf.","Singer","Known","White",FALSE,"Female","Marion Cotillard"
"Lady Jane","tt0091374","UK",1986,278000,"Trevor Nunn",1,"Lady Jane Grey","Historical","Unknown",NA,FALSE,"Female","Helena Bonham Carter"
"Lady Sings the Blues","tt0068828","US",1972,9600000,"Sidney J. Furie",1,"Billie Holiday","Musician","Known","African American",TRUE,"Female","Diana Ross"
"Last Days","tt0403217","US",2005,455000,"Gus Van Sant",1,"Kurt Cobain","Musician","Known","White",FALSE,"Male","Michael Pitt"
"Lawrence of Arabia","tt0056172","UK",1962,342000,"David Lean",1,"Thomas Edward Lawrence","Military","Known","White",FALSE,"Male","Peter O'Toole"
"Lee Daniels' The Butler","tt1327773","US",2013,1.17e+08,"Lee Daniels",1,"Cecil Gaines","Other","Known","African American",TRUE,"Male","Forest Whitaker"
"Lenny","tt0071746","US",1974,NA,"Bob Fosse",1,"Lenny Bruce","Comedian","Known","White",FALSE,"Male","Dustin Hoffman"
"Lincoln","tt0443272","US",2012,1.82e+08,"Steven Spielberg",1,"Abraham Lincoln","World leader","Known","White",FALSE,"Male","Daniel Day-Lewis"
"Lion of the Desert","tt0081059","US",1981,NA,"Moustapha Akkad",1,"Omar Mukhtar","Activist","Known","Middle Eastern",TRUE,"Male","Anthony Quinn"
"Lisztomania","tt0073298","UK",1975,NA,"Ken Russell",1,"Franz Liszt","Musician","Known","White",FALSE,"Male","Roger Daltrey"
"Little Ashes","tt1104083","UK",2008,480000,"Paul Morrison",1,"Salvador DalÃ_","Artist","Known","Multi racial",TRUE,"Male","Robert Pattinson"
"Lone Survivor","tt1091191","US",2013,1.25e+08,"Peter Berg",1,"Marcus Luttrell","Military","Unknown",NA,FALSE,"Male","Mark Wahlberg"
"Lords of Dogtown","tt0355702","US",2005,1.1e+07,"Catherine Hardwicke",3,"Jay Adams","Athlete","Unknown",NA,FALSE,"Male","Emile Hirsch"
"Lords of Dogtown","tt0355702","US",2005,1.1e+07,"Catherine Hardwicke",3,"Tony Alva","Athlete","Known","Hispanic (Latino)",TRUE,"Male","Victor Rasuk"
"Lords of Dogtown","tt0355702","US",2005,1.1e+07,"Catherine Hardwicke",3,"Stacy Peralta","Athlete","Unknown",NA,FALSE,"Male","John Robinson"
"Louis Cyr","tt1657513","Canada",2013,NA,"Daniel Roby",1,"Louis Cyr","Athlete","Known","White",FALSE,"Male","Antoine Bertrand"
"Love & Mercy","tt0903657","US",2014,9260000,"Bill Pohlad",1,"Brian Wilson","Musician","Known","White",FALSE,"Male","John Cusack"
"Love Is a Many-Splendored Thing","tt0048316","US",1955,NA,"Henry King",1,"Han Suyin","Other","Known","Eurasian",TRUE,"Female","Jennifer Jones"
"Love Is the Devil: Study for a Portrait of Francis Bacon","tt0119577","US/UK",1998,343000,"John Maybury",1,"Francis Bacon","Artist","Known","White",FALSE,"Male","Derek Jacobi"
"Love Me or Leave Me","tt0048317","US",1955,NA,"Charles Vidor",1,"Ruth Etting","Singer","Unknown",NA,FALSE,"Female","Doris Day"
"Lovelace","tt1426329","US",2013,355000,"Rob Epstein, Jeffrey Friedman",1,"Linda Lovelace","Actress","Known","White",FALSE,"Female","Amanda Seyfried"
"Low Down","tt1864405","US",2014,44500,"Jeff Preiss",1,"Joe Albany","Musician","Known","White",FALSE,"Male","John Hawkes"
"Lucky Luciano","tt0071782","US",1973,NA,"Francesco Rosi",1,"Charles Luciano","Criminal","Known","White",FALSE,"Male","Gian Maria VolontÃ©"
"Lust for Life","tt0049456","US",1956,NA,"Vincente Minnelli",1,"Vincent van Gogh","Artist","Known","White",FALSE,"Male","Kirk Douglas"
"Luther","tt0309820","US",2003,5670000,"Eric Till",1,"Martin Luther","Historical","Known","White",FALSE,"Male","Joseph Fiennes"
"MacArthur","tt0076342","US",1977,NA,"Joseph Sargent",1,"Douglas MacArthur","Military","Known","White",FALSE,"Male","Gregory Peck"
"Machine Gun Preacher","tt1586752","US",2011,538000,"Marc Forster",1,"Sam Childers","Other","Known","White",FALSE,"Male","Gerard Butler"
"Machine-Gun Kelly","tt0051887","US",1958,NA,"Roger Corman",1,"George Kelly","Criminal","Unknown",NA,FALSE,"Male","Charles Bronson"
"Madame Curie","tt0036126","US",1943,NA,"Mervyn LeRoy",2,"Pierre Curie","Academic","Known","White",FALSE,"Male","Walter Pidgeon"
"Madame Curie","tt0036126","US",1943,NA,"Mervyn LeRoy",2,"Marie Curie","Academic","Known","White",FALSE,"Female","Greer Garson"
"Mahler","tt0071797","UK",1974,NA,"Ken Russell",2,"Gustav Mahler","Musician","Known","White",FALSE,"Male","Robert Powell"
"Mahler","tt0071797","UK",1974,NA,"Ken Russell",2,"Alma Mahler","Other","Unknown",NA,FALSE,"Female","Georgina Hale"
"Malcolm X","tt0104797","US",1992,48200000,"Spike Lee",1,"Malcolm X","Activist","Known","African American",TRUE,"Male","Denzel Washington"
"Man of a Thousand Faces","tt0050681","US",1957,NA,"Joseph Pevney",1,"Lon Chaney","Actor","Known","White",FALSE,"Male","James Cagney"
"Man on the Moon","tt0125664","US/UK",1999,34600000,"Milos Forman",1,"Andy Kaufman","Comedian","Unknown",NA,FALSE,"Male","Jim Carrey"
"Mandela: Long Walk to Freedom","tt2304771","UK",2013,8320000,"Justin Chadwick",1,"Nelson Mandela","World leader","Known","African",TRUE,"Male","Idris Elba"
"Marie Antoinette","tt0030418","US",1938,NA,"W.S. Van Dyke",1,"Marie Antoinette","Historical","Known","White",FALSE,"Female","Norma Shearer"
"Marie Antoinette","tt0422720","US",2006,1.6e+07,"Sofia Coppola",1,"Marie Antoinette","Historical","Known","White",FALSE,"Female","Kirsten Dunst"
"Mary of Scotland","tt0027948","US",1936,NA,"John Ford",1,"Mary Stuart, Queen of Scots","Historical","Known","White",FALSE,"Female","Katharine Hepburn"
"Mary, Queen of Scots","tt0067402","UK",1971,NA,"Charles Jarrott",1,"Mary Stuart, Queen of Scots","Historical","Known","White",FALSE,"Female","Vanessa Redgrave"
